Code agence;Commune;Tournee;Code INSEE;Latitude;Longitude;CP;Zone;UM;Poids
NT14G;BENERVILLE SUR MER;13, 28, 30, MAINIER;14059;49.3422203063963;0.0366670005023481;14910;Zone 2;161.0;5110.738
NT50T;BENOITVILLE;1, 11, 6;50045;49.528888702393;-1.7788889408112;50340;Zone 1;47.0;2038.421
NT14G;BENOUVILLE;10, 18, 22, 35, 39, 49;14060;49.2466659545899;-0.276389002799993;14970;Zone 1;434.0;27208.627
NT14G;BENY SUR MER;20, 35, 39;14062;49.2900009155273;-0.431944012641908;14440;Zone 1;9.0;333.0
NT61L;BERD HUIS;14, 8;61043;48.3450012207033;0.746388971805552;61340;Zone 3;207.0;19565.315
NT50S;BERIGNY;1, 10, 11;50046;49.1425018310549;-0.942221999168409;50810;Zone 1;33.0;2299.3
NT61L;BERJOU;23;61044;48.850555419922;-0.479167014360433;61430;Zone 3;16.0;533.249
NT50S;BERNESQ;11;14063;49.273609161377;-0.942499995231642;14710;Zone 2;1.0;43.0
NT14G;BERNIERES D AILLY;25;14064;48.9616661071779;-0.0911109969019912;14170;Zone 2;11.0;944.54
NT50S;BERNIERES LE PATRY;12, 15;14065;48.814720153809;-0.7355560064316;14410;Zone 2;6.0;2400.0
NT14G;BERNIERES SUR MER;18, 39;14066;49.3319435119631;-0.421943992376329;14990;Zone 2;285.0;13209.728
NT61L;BERUS;16;72034;48.4325951;0.1261572;72610;Zone 1;11.0;1084.4
NT14G;BERVILLE;33;14067;49.005307250461;-0.010732415176;14170;Zone 2;8.0;249.0
NT50V;BESLON;1, 15, 21, 7;50048;48.850555419922;-1.15027797222138;50800;Zone 1;14.0;363.27
NT50T;BESNEVILLE;1, 7;50049;49.3686103820799;-1.62638902664179;50390;Zone 2;24.0;1410.911
NT61L;BETHON;16;72036;48.3632;0.0893507;72610;Zone 1;1.0;230.0
NT14G;BEUVILLERS;14, 32, 54, 58;14069;49.12833404541;0.245555996894838;14100;Zone 2;103.0;9070.413
NT50V;BEUVRIGNY;14;50050;48.9716682434081;-1.00305604934689;50420;Zone 2;4.0;36.0
NT14G;BEUVRON EN AUGE;29, 54;14070;49.1908340454102;-0.0474999994039539;14430;Zone 1;32.0;1653.494
NT50S;BEUZEVILLE LA BASTILLE;9;50052;49.356666564941;-1.37166702747338;50360;Zone 3;19.0;808.292
NT50S;BIEVILLE;10;50054;49.0844421386718;-0.887777984142292;50160;Zone 1;23.0;309.7
NT14G;BIEVILLE BEUVILLE;12, 18, 35, 39, 8;14068;49.2433319091802;-0.327499985694892;14112;Zone 1;1528.0;32279.452
NT14G;BIEVILLE EN AUGE;29;14071;49.125960133563;-0.03985762598;14270;Zone 1;1.0;39.0
NT14G;BIEVILLE QUETIEVILLE;29;14527;49.1041679382318;-0.0386109985411171;14270;Zone 1;11.0;1691.0
NT14G;BILLY;29;14074;49.0891685485842;-0.194167003035552;14370;Zone 1;9.0;896.0
NT50S;BINIVILLE;6;50055;49.4275016784668;-1.47694396972662;50390;Zone 3;1.0;150.0
