;Dpt;Code INSEE;CP;Commune;Code agence;Code Directionnel;Latitude;Longitude;Commune_agence;Code postal;Latitude_agence;Longitude_agence;Distance (km)
FR;50;50234;50410;LA HAYE BELLEFOND;NT50X;50V;48.985557556152;-1.18499994277952;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;16.41
FR;50;50236;50250;LA HAYE DU PUITS;NT50X;50S;49.291389465332;-1.5413889884949;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;48.49
FR;50;50237;50320;LA HAYE PESNEL;NT50X;50V;48.798057556152;-1.3966670036316;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;12.55
FR;50;50239;50180;HEBECREVON;NT50X;50S;49.1277770996092;-1.16583299636842;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;15.63
FR;50;50241;50700;HEMEVEZ;NT50X;50S;49.4602775573732;-1.43638896942142;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;56.29
FR;50;50243;50200;HEUGUEVILLE SUR SIENNE;NT50X;50V;49.0338897705079;-1.51638901233668;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;29.41
FR;50;50244;50660;HERENGUERVILLE;NT50X;50V;48.9780578613282;-1.50111103057861;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;24.4
FR;50;50245;50640;HEUSSE;NT50X;50V;48.5072212219239;-0.900277972221373;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;44.87
FR;50;50246;50480;HIESVILLE;NT50X;50S;49.3716659545897;-1.2613890171051;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;41.19
FR;50;50247;50320;HOCQUIGNY;NT50X;50V;48.8163871765141;-1.40638899803157;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;12.59
FR;50;50248;50620;LE HOMMET D ARTHENAY;NT50X;50S;49.1883316040038;-1.18972194194792;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;21.42
FR;50;50249;50480;HOUESVILLE;NT50X;50S;49.3511123657228;-1.28722202777857;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;40.17
FR;50;50250;50250;HOUTTEVILLE;NT50X;50S;49.3380546569822;-1.36194396018982;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;42.21
FR;50;50252;50510;HUDIMESNIL;NT50X;50V;48.864166259766;-1.4919439554214;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;18.68
FR;50;50253;50170;HUISNES SUR MER;NT50X;50V;48.6094436645508;-1.45138895511632;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;30.23
FR;50;50254;50640;HUSSON;NT50X;50V;48.5713882446287;-0.891389012336713;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;39.56
FR;50;50255;50660;HYENVILLE;NT50X;50V;48.9958343505858;-1.46805596351617;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;23.91
FR;50;50256;50540;ISIGNY LE BUAT;NT50X;50V;48.610832214355;-1.16694402694702;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;26.3
FR;50;50258;50310;JOGANVILLE;NT50X;50S;49.4700012207029;-1.34833300113682;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;53.81
FR;50;50259;50220;JUILLEY;NT50X;50V;48.5997238159179;-1.34138894081121;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;28.01
FR;50;50260;50520;JUVIGNY LES VALLEES;NT50X;50V;48.6794433593748;-1.02083301544188;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;24.23
FR;50;50261;50160;LAMBERVILLE;NT50X;50S;49.087501525879;-0.90833300352096;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;7.62
FR;50;50262;50800;LA LANDE D AIROU;NT50X;50V;48.81888961792;-1.27805602550512;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;3.85
FR;50;50263;50600;LAPENTY;NT50X;50V;48.5797233581538;-1.00472199916838;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;33.94
FR;50;50265;50430;LAULNE;NT50X;50S;49.2500000000002;-1.46972203254698;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;41.6
FR;50;50266;50450;LENGRONNE;NT50X;50V;48.934440612793;-1.3836100101471;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;14.71
FR;50;50267;50430;LESSAY;NT50X;50S;49.2202796936043;-1.5311110019684;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;43.87
FR;50;50269;50480;LIESVILLE SUR DOUVE;NT50X;50S;49.356666564941;-1.33444404602047;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;42.62
FR;50;50270;50700;LIEUSAINT;NT50X;50S;49.4772224426269;-1.47777795791632;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;59.58
FR;50;50271;50670;LINGEARD;NT50X;50V;48.7391662597662;-1.02555596828461;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.47
FR;50;50272;50660;LINGREVILLE;NT50X;50V;48.9530563354487;-1.52805602550507;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;24.47
FR;50;50273;50250;LITHAIRE;NT50X;50S;49.3005561828609;-1.48333299159998;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;45.67
FR;50;50274;50600;LES LOGES MARCHIS;NT50X;50V;48.5436096191409;-1.08611094951628;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;35.09
FR;50;50275;50370;LES LOGES SUR BRECEY;NT50X;50V;48.7677764892578;-1.17527794837949;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;9.55
FR;50;50276;50530;LOLIF;NT50X;50V;48.7338905334472;-1.39083302021032;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;16.41
FR;50;50277;50290;LONGUEVILLE;NT50X;50V;48.8558311462398;-1.54916703701021;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;22.77
FR;50;50278;50510;LE LOREUR;NT50X;50V;48.8711128234858;-1.43027794361107;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;14.36
FR;50;50279;50570;LE LOREY;NT50X;50V;49.0952796936038;-1.30583298206332;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;28.54
FR;50;50280;50570;LOZON;NT50X;50V;49.1422233581539;-1.26333296298982;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;33.39
FR;50;50281;50320;LA LUCERNE D OUTREMER;NT50X;50V;48.784999847412;-1.4263889789581;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;15.14
FR;50;50282;50870;LE LUOT;NT50X;50V;48.757499694824;-1.31916701793673;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;11.11
FR;50;50283;50680;LA LUZERNE;NT50X;50S;49.1413879394532;-1.04694402217859;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;11.33
FR;50;50284;50170;MACEY;NT50X;50V;48.5636100769039;-1.43222200870511;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;34.09
FR;50;50286;50540;LA MANCELLIERE;NT50X;50V;48.6423;-1.16418;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;22.93
FR;50;50287;50750;LA MANCELLIERE SUR VIRE;NT50X;50V;49.0677795410159;-1.0716700553894;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;27.92
FR;50;50288;50300;MARCEY LES GREVES;NT50X;50V;48.6986122131351;-1.38972198963172;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.43
FR;50;50289;50190;MARCHESIEUX;NT50X;50S;49.1883316040038;-1.29166698455812;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;27.01
FR;50;50290;50220;MARCILLY;NT50X;50V;48.6497230529789;-1.25166702270512;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;21.45
FR;50;50291;50410;MARGUERAY;NT50X;50V;48.8966674804688;-1.14027798175812;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;9.46
FR;50;50292;50570;MARIGNY LE LOZON;NT50X;50V;49.0983314514163;-1.24333298206329;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;28.46
FR;50;50293;50600;MARTIGNY;NT50X;50V;48.6150016784671;-1.10611104965212;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;27.13
FR;50;50295;50410;MAUPERTUIS;NT50X;50V;48.956943511963;-1.20000004768373;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;13.06
FR;50;50297;50880;LA MEAUFFE;NT50X;50S;49.1786117553709;-1.10944402217863;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;17.05
FR;50;50298;50500;MEAUTIS;NT50X;50S;49.2788887023928;-1.30083298683169;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;34.32
FR;50;50300;50520;LE MESNIL ADELEE;NT50X;50V;48.7024993896482;-1.07249999046328;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.82
FR;50;50301;50450;LE MESNIL AMAND;NT50X;50V;48.884166717529;-1.36055600643162;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;10.02
FR;50;50302;50570;LE MESNIL AMEY;NT50X;50V;49.1049995422362;-1.20888900756839;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;29.29
FR;50;50303;50620;LE MESNIL ANGOT;NT50X;50S;49.2244453430178;-1.19527804851533;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;24.77
FR;50;50304;50510;LE MESNIL AUBERT;NT50X;50V;48.9480552673339;-1.41333305835718;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;17.33
FR;50;50306;50540;LE MESNIL BOEUFS;NT50X;50V;48.627778154481;-1.150067095153;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;24.76
FR;50;50307;50450;LE MESNIL BONANT;NT50X;50V;48.899546284953;-1.300020025891;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;7.75
FR;50;50308;50490;LE MESNILBUS;NT50X;50V;49.1347236633301;-1.34833300113682;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;33.47
FR;50;50309;50320;LE MESNIL DREY;NT50X;50V;48.809546;-1.4203368;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;13.77
FR;50;50310;50570;LE MESNIL EURY;NT50X;50S;49.1527786254881;-1.23749995231628;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;21.51
FR;50;50311;50450;LE MESNIL GARNIER;NT50X;50V;48.8672218322753;-1.3072220087051;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;5.68
FR;50;50312;50670;LE MESNIL GILBERT;NT50X;50V;48.7161102294922;-1.06222200393678;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.16
FR;50;50313;50750;LE MESNIL HERMAN;NT50X;50V;49.027221679688;-1.14471995830537;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;21.7
FR;50;50314;50450;LE MESNIL HUE;NT50X;50V;48.889359634385;-1.300110245736;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;6.86
FR;50;50315;50600;LE MESNILLARD;NT50X;50V;48.6288871765141;-1.07000005245209;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;26.82
FR;50;50316;50860;LE MESNIL OPAC;NT50X;50V;49.0127792358401;-1.09472203254702;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;21.72
FR;50;50317;50220;LE MESNIL OZENNE;NT50X;50V;48.6683311462398;-1.23249995708471;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.36
FR;50;50318;50520;LE MESNIL RAINFRAY;NT50X;50V;48.6688880920412;-1.05666697025301;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;23.52
FR;50;50319;50420;LE MESNIL RAOULT;NT50X;50V;49.0341682434078;-1.06027805805212;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;25.04
FR;50;50320;50450;LE MESNIL ROGUES;NT50X;50V;48.8647232055657;-1.380833029747;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;10.66
FR;50;50321;50000;LE MESNIL ROUXELIN;NT50X;50S;49.1494445800778;-1.08527803421022;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;13.36
FR;50;50322;50540;LE MESNIL THEBAULT;NT50X;50V;48.61254;-1.19493;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;25.77
FR;50;50323;50520;LE MESNIL TOVE;NT50X;50V;48.7013893127439;-1.02166700363158;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;22.41
FR;50;50324;50620;LE MESNIL VENERON;NT50X;50S;49.2272224426272;-1.16472196578981;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;23.76
FR;50;50325;50570;LE MESNIL VIGOT;NT50X;50S;49.1569442749022;-1.28111100196839;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;24.47
FR;50;50326;50450;LE MESNIL VILLEMAN;NT50X;50V;48.866111755371;-1.32611095905303;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;6.88
FR;50;50327;50510;LA MEURDRAQUIERE;NT50X;50V;48.8513908386233;-1.4083329439163;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;12.43
FR;50;50328;50190;MILLIERES;NT50X;50S;49.1880569458008;-1.45916700363157;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;37.6
FR;50;50329;50600;MILLY;NT50X;50V;48.6025009155267;-1.01777803897861;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;31.27
FR;50;50330;50250;MOBECQ;NT50X;50S;49.273334503174;-1.5183329582214;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;45.98
FR;50;50331;50170;MOIDREY;NT50X;50V;48.57558;-1.50573;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;35.56
FR;50;50333;50360;LES MOITIERS EN BAUPTOIS;NT50X;50S;49.3663902282708;-1.43166697025303;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;47.92
FR;50;50334;50410;MONTABOT;NT50X;50V;48.9352798461912;-1.12694394588471;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;13.22
FR;50;50336;50450;MONTAIGU LES BOIS;NT50X;50V;48.8922233581542;-1.27999997138979;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;6.29
FR;50;50337;50240;MONTANEL;NT50X;50V;48.4966659545898;-1.42027795314792;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;40.69
FR;50;50338;50410;MONTBRAY;NT50X;50V;48.8813896179202;-1.09500002861019;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;11.46
FR;50;50339;50660;MONTCHATON;NT50X;50V;49.0116653442378;-1.50083303451538;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;26.85
FR;50;50340;50490;MONTCUIT;NT50X;50V;49.1216659545901;-1.3416670560837;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;31.94
FR;50;50341;50310;MONTEBOURG;NT50X;50S;49.4883346557619;-1.37999999523157;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;56.72
FR;50;50343;50250;MONTGARDON;NT50X;50S;49.2802772521969;-1.57166695594793;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;49.67
FR;50;50344;50540;MONTGOTHIER;NT50X;50V;48.6438;-1.1961;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;22.31
FR;50;50345;50200;MONTHUCHON;NT50X;50V;49.0841674804688;-1.42027795314792;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;29.97
FR;50;50346;50540;MONTIGNY;NT50X;50V;48.6453;-1.12606;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;23.45
FR;50;50347;50240;MONTJOIE ST MARTIN;NT50X;50V;48.5325012207027;-1.28999996185299;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;34.66
FR;50;50348;50620;MONTMARTIN EN GRAIGNES;NT50X;50S;49.2761116027828;-1.14638900756841;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;27.95
FR;50;50349;50590;MONTMARTIN SUR MER;NT50X;50V;48.9900016784671;-1.52416694164279;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;26.55
FR;50;50350;50210;MONTPINCHON;NT50X;50V;49.022220611572;-1.30944395065311;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;20.64
FR;50;50351;50810;MONTRABOT;NT50X;50S;49.1100006103522;-0.886389017105081;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;10.46
FR;50;50352;50570;MONTREUIL SUR LOZON;NT50X;50V;49.1397209167481;-1.2397220134735;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;33.06
FR;50;50353;50170;LE MONT ST MICHEL;NT50X;50V;48.6363906860347;-1.5102779865265;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;30.36
FR;50;50354;50200;MONTSURVENT;NT50X;50V;49.114723205566;-1.49666702747339;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;35.66
FR;50;50355;50530;MONTVIRON;NT50X;50V;48.7366676330572;-1.4205559492111;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;17.75
FR;50;50356;50680;MOON SUR ELLE;NT50X;50S;49.2061119079588;-1.04694402217859;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;18.23
FR;50;50357;50410;MORIGNY;NT50X;50V;48.8833312988277;-1.05833303928381;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;14.05
FR;50;50359;50140;MORTAIN BOCAGE;NT50X;50V;48.6502761840818;-0.939444005489359;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;30.72
FR;50;50361;50320;LA MOUCHE;NT50X;50V;48.7933311462402;-1.35000002384189;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;9.78
FR;50;50362;50600;MOULINES;NT50X;50V;48.5466651916502;-1.03138899803162;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;36.28
FR;50;50363;50860;MOYON;NT50X;50V;48.9994430541991;-1.11749994754791;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;19.62
FR;50;50364;50490;MUNEVILLE LE BINGARD;NT50X;50V;49.1211128234861;-1.47583305835721;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;35.5
FR;50;50365;50290;MUNEVILLE SUR MER;NT50X;50V;48.9344444274899;-1.49083304405211;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;21.08
FR;50;50367;50540;NAFTEL;NT50X;50V;48.6098614;-1.132535;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;27.03
FR;50;50368;50190;NAY;NT50X;50S;49.2358322143553;-1.36972200870508;Cond«ü∂∏-sur-Vire;50890;49.046229053341;-0.991599705415;34.72
FR;50;50371;50140;LE NEUFBOURG;NT50X;50V;48.6552772521972;-0.946389019489296;Villedieu-les-Po«ü∂¶les;50800;48.8424;-1.23952;29.96
